transaction_id,sender_id,receiver_id,amount,timestamp
T00000001,A1,A2,1555,2024-01-01 09:00:00
T00000002,A2,A3,8228,2024-01-01 09:01:00
T00000003,A3,A1,2810,2024-01-01 09:02:00
T00000004,B1,B2,8530,2024-01-01 09:03:00
T00000005,B2,B3,3183,2024-01-01 09:04:00
T00000006,B3,B4,9176,2024-01-01 09:05:00
T00000007,B4,B1,7727,2024-01-01 09:06:00
T00000008,N67,N151,4277,2024-01-01 09:07:00
T00000009,N30,N136,2247,2024-01-01 09:08:00
T00000010,N59,N153,1971,2024-01-01 09:09:00
T00000011,FI3,HUB_FI,3683,2024-01-01 09:10:00
T00000012,N18,N109,4041,2024-01-01 09:11:00
T00000013,N165,N196,5088,2024-01-01 09:12:00
T00000014,N48,N121,2583,2024-01-01 09:13:00
T00000015,N109,N28,3031,2024-01-01 09:14:00
T00000016,HUB_FO,FO9,1165,2024-01-01 09:15:00
T00000017,N134,N66,9272,2024-01-01 09:16:00
T00000018,N170,N56,6659,2024-01-01 09:17:00
T00000019,N24,N15,9269,2024-01-01 09:18:00
T00000020,N157,N32,1132,2024-01-01 09:19:00
T00000021,B4,B1,3385,2024-01-01 09:20:00
T00000022,A1,A2,6216,2024-01-01 09:21:00
T00000023,A2,A3,2040,2024-01-01 09:22:00
T00000024,A3,A1,5397,2024-01-01 09:23:00
T00000025,B1,B2,7878,2024-01-01 09:24:00
T00000026,B2,B3,2551,2024-01-01 09:25:00
T00000027,B3,B4,6745,2024-01-01 09:26:00
T00000028,N31,N48,9152,2024-01-01 09:27:00
T00000029,N126,N85,3306,2024-01-01 09:28:00
T00000030,N128,N154,4385,2024-01-01 09:29:00
T00000031,FI3,HUB_FI,4517,2024-01-01 09:30:00
T00000032,N4,N96,6428,2024-01-01 09:31:00
T00000033,N136,N43,5762,2024-01-01 09:32:00
T00000034,N144,N121,6077,2024-01-01 09:33:00
T00000035,N115,N65,6936,2024-01-01 09:34:00
T00000036,N69,N162,5118,2024-01-01 09:35:00
T00000037,N154,N166,6720,2024-01-01 09:36:00
T00000038,N31,N110,4261,2024-01-01 09:37:00
T00000039,N135,N167,5550,2024-01-01 09:38:00
T00000040,N111,N28,8762,2024-01-01 09:39:00
T00000041,B3,B4,3874,2024-01-01 09:40:00
T00000042,B4,B1,7689,2024-01-01 09:41:00
T00000043,A1,A2,7471,2024-01-01 09:42:00
T00000044,A2,A3,3692,2024-01-01 09:43:00
T00000045,A3,A1,4529,2024-01-01 09:44:00
T00000046,B1,B2,9251,2024-01-01 09:45:00
T00000047,B2,B3,7711,2024-01-01 09:46:00
T00000048,N141,N139,6692,2024-01-01 09:47:00
T00000049,N2,N163,3455,2024-01-01 09:48:00
T00000050,N183,N200,4999,2024-01-01 09:49:00
T00000051,FI4,HUB_FI,6020,2024-01-01 09:50:00
T00000052,N99,N102,2916,2024-01-01 09:51:00
T00000053,N36,N8,3649,2024-01-01 09:52:00
T00000054,N139,N72,4828,2024-01-01 09:53:00
T00000055,N137,N28,9075,2024-01-01 09:54:00
T00000056,N169,N38,9736,2024-01-01 09:55:00
T00000057,N147,N26,5352,2024-01-01 09:56:00
T00000058,N184,N195,469,2024-01-01 09:57:00
T00000059,N124,N73,9825,2024-01-01 09:58:00
T00000060,N26,N135,3628,2024-01-01 09:59:00
T00000061,B2,B3,8368,2024-01-01 10:00:00
T00000062,B3,B4,5735,2024-01-01 10:01:00
T00000063,B4,B1,4312,2024-01-01 10:02:00
T00000064,A1,A2,557,2024-01-01 10:03:00
T00000065,A2,A3,9726,2024-01-01 10:04:00
T00000066,A3,A1,3106,2024-01-01 10:05:00
T00000067,B1,B2,4103,2024-01-01 10:06:00
T00000068,N183,N101,1224,2024-01-01 10:07:00
T00000069,N190,N182,2346,2024-01-01 10:08:00
T00000070,N186,N58,8932,2024-01-01 10:09:00
T00000071,FI3,HUB_FI,4077,2024-01-01 10:10:00
T00000072,N28,N182,204,2024-01-01 10:11:00
T00000073,N89,N23,5967,2024-01-01 10:12:00
T00000074,N26,N153,5857,2024-01-01 10:13:00
T00000075,N55,N105,379,2024-01-01 10:14:00
T00000076,HUB_FO,FO6,7437,2024-01-01 10:15:00
T00000077,N104,N340,1613,2024-01-01 10:16:00
T00000078,N74,N76,4326,2024-01-01 10:17:00
T00000079,N47,N136,3229,2024-01-01 10:18:00
T00000080,N189,N123,1744,2024-01-01 10:19:00
T00000081,B1,B2,8841,2024-01-01 10:20:00
T00000082,B2,B3,5666,2024-01-01 10:21:00
T00000083,B3,B4,1938,2024-01-01 10:22:00
T00000084,B4,B1,1454,2024-01-01 10:23:00
T00000085,A1,A2,1025,2024-01-01 10:24:00
T00000086,A2,A3,7517,2024-01-01 10:25:00
T00000087,A3,A1,7098,2024-01-01 10:26:00
T00000088,N177,N119,6488,2024-01-01 10:27:00
T00000089,N188,N99,9160,2024-01-01 10:28:00
T00000090,N23,N186,3524,2024-01-01 10:29:00
T00000091,FI5,HUB_FI,7984,2024-01-01 10:30:00
T00000092,N162,N9,5555,2024-01-01 10:31:00
T00000093,N51,N101,1967,2024-01-01 10:32:00
T00000094,N88,N176,287,2024-01-01 10:33:00
T00000095,N131,N78,6140,2024-01-01 10:34:00
T00000096,N195,N197,2485,2024-01-01 10:35:00
T00000097,N7,N149,9485,2024-01-01 10:36:00
T00000098,N133,N30,562,2024-01-01 10:37:00
T00000099,N126,N120,6488,2024-01-01 10:38:00
T00000100,N109,N84,313,2024-01-01 10:39:00
T00000101,A3,A1,3393,2024-01-01 10:40:00
T00000102,B1,B2,1363,2024-01-01 10:41:00
