transaction_id,sender_id,receiver_id,amount,timestamp
TXN_PAY_042,CORP_PAYROLL_DEPT,ACC_EMP_042,2800.0,2026-01-31 08:30:00
TXN_LEGIT_0019,ACC_1472,ACC_1278,1178.59,2026-01-03 10:00:00
TXN_LEGIT_0859,ACC_1593,ACC_2752,732.53,2026-02-13 22:00:00
TXN_LEGIT_0805,ACC_2145,ACC_2140,144.15,2026-01-15 10:00:00
TXN_LEGIT_0245,ACC_1776,ACC_1652,642.91,2026-01-30 08:00:00
TXN_LEGIT_0614,ACC_1202,ACC_1321,647.44,2026-01-23 10:00:00
TXN_LEGIT_0800,ACC_2231,ACC_2376,1101.52,2026-02-03 07:00:00
TXN_LEGIT_0741,ACC_2930,ACC_1783,512.94,2026-01-11 08:00:00
TXN_LEGIT_0632,ACC_1550,ACC_1782,527.23,2026-02-03 08:00:00
TXN_LEGIT_0441,ACC_2142,ACC_2326,776.22,2026-01-15 22:00:00
TXN_LEGIT_0467,ACC_1298,ACC_1419,1025.46,2026-02-07 11:00:00
TXN_LEGIT_0252,ACC_2723,ACC_2781,409.92,2026-02-01 16:00:00
TXN_LEGIT_0399,ACC_2702,ACC_2872,64.9,2026-02-08 00:00:00
TXN_PAY_004,CORP_PAYROLL_DEPT,ACC_EMP_004,2800.0,2026-01-31 08:30:00
TXN_LEGIT_0033,ACC_2687,ACC_1389,1141.41,2026-01-30 12:00:00
TXN_SM_IN_001,ACC_MULE_001,ACC_BOSS_01,360.86,2026-02-12 14:00:00
TXN_LEGIT_0251,ACC_1453,ACC_1207,20.41,2026-01-13 20:00:00
TXN_LEGIT_0559,ACC_2570,ACC_2317,960.36,2026-01-07 00:00:00
TXN_LEGIT_0667,ACC_2685,ACC_1391,976.57,2026-02-05 00:00:00
TXN_LEGIT_0864,ACC_2955,ACC_2698,994.41,2026-01-20 22:00:00
TXN_LEGIT_0190,ACC_1506,ACC_2618,23.59,2026-02-02 22:00:00
TXN_PAY_019,CORP_PAYROLL_DEPT,ACC_EMP_019,2800.0,2026-01-31 08:30:00
TXN_LEGIT_0476,ACC_1587,ACC_1733,346.63,2026-01-10 04:00:00
TXN_LEGIT_0893,ACC_2005,ACC_1672,509.74,2026-02-01 00:00:00
TXN_LEGIT_0147,ACC_1317,ACC_1634,482.65,2026-02-13 11:00:00
TXN_LEGIT_0021,ACC_2482,ACC_1046,881.71,2026-01-13 21:00:00
TXN_LEGIT_0925,ACC_2109,ACC_1260,38.16,2026-01-02 01:00:00
TXN_LEGIT_0035,ACC_1215,ACC_1328,151.94,2026-01-31 04:00:00
TXN_LEGIT_0673,ACC_2845,ACC_2008,159.22,2026-01-02 22:00:00
TXN_LEGIT_0031,ACC_2323,ACC_1856,814.53,2026-01-17 13:00:00
TXN_LEGIT_0665,ACC_2526,ACC_2331,790.1,2026-02-12 16:00:00
TXN_LEGIT_0206,ACC_2294,ACC_2512,540.54,2026-01-24 15:00:00
TXN_LEGIT_0379,ACC_2429,ACC_2978,1090.98,2026-02-04 13:00:00
TXN_LEGIT_0627,ACC_1429,ACC_2114,579.53,2026-01-21 21:00:00
TXN_LEGIT_0316,ACC_1825,ACC_2543,254.62,2026-02-11 19:00:00
TXN_LEGIT_0682,ACC_1033,ACC_2847,690.56,2026-02-10 21:00:00
TXN_LEGIT_0046,ACC_1554,ACC_1759,928.56,2026-01-15 11:00:00
TXN_LEGIT_0293,ACC_2320,ACC_1183,119.3,2026-01-25 15:00:00
